date,pantone,hex,meta,description,color
JAN 08,PANTONE 17-1520,B06F6B,GRAND,"PROVOCATIVE and daring, you are bigger than life.  Born to perform and to change the status quo, you need an outlet for your creativity and gregarious personality.  Your sensuality and appeal is a 10 on the Richter scale.  The need to find a balance between your home life and your professional life requires both work and trust.  Your personal color encourages you to have a stable structure to support your dreams and aspirations.  Wearing, meditating or surrounding yourself with Canyon Rose helps you relax and appreciate every stage of your life.",CANYON ROSE
JAN 07,PANTONE 18-1616,865058,REFLECTIVE,"YOUR quirky personality makes you irresistible and pulls people toward you.  Your unusual take on life makes you stand out and be noticed.  This can make you feel special or at times a little separate from others.  Courageous in your expression, you can do well in the performing arts or any other field that allows you to be distinct.  You have a style all your own.  Your personal color embraces your individuality yet supports the value of you finding your place within the human family.  Wearing, meditating or surrounding yourself with Roan Rouge helps you balance your intensity with sweetness.",ROAN ROUGE
JAN 07,PANTONE 18-1616,865058,INTENSE,"YOUR quirky personality makes you irresistible and pulls people toward you.  Your unusual take on life makes you stand out and be noticed.  This can make you feel special or at times a little separate from others.  Courageous in your expression, you can do well in the performing arts or any other field that allows you to be distinct.  You have a style all your own.  Your personal color embraces your individuality yet supports the value of you finding your place within the human family.  Wearing, meditating or surrounding yourself with Roan Rouge helps you balance your intensity with sweetness.",ROAN ROUGE
JAN 07,PANTONE 18-1616,865058,UNIQUE,"YOUR quirky personality makes you irresistible and pulls people toward you.  Your unusual take on life makes you stand out and be noticed.  This can make you feel special or at times a little separate from others.  Courageous in your expression, you can do well in the performing arts or any other field that allows you to be distinct.  You have a style all your own.  Your personal color embraces your individuality yet supports the value of you finding your place within the human family.  Wearing, meditating or surrounding yourself with Roan Rouge helps you balance your intensity with sweetness.",ROAN ROUGE
JAN 06,PANTONE 18-1426,864E51,HARDWORKING,"YOUR unique way of thinking and your perception of the world and the people in it can lead others to new ways of seeing things.  Education is an important factor in your growth and people born on this day tend to continue to study way past traditional schooling.  You are sensual and have a love of life and its pleasures that can either be relished or excessive.  Your personal color helps you focus and ground your visions.  Wearing, meditating or surrounding yourself with the color Apple Butter encourages you to enjoy life's pleasures without going overboard.",APPLE BUTTER
JAN 06,PANTONE 18-1426,864E51,THEORIST,"YOUR unique way of thinking and your perception of the world and the people in it can lead others to new ways of seeing things.  Education is an important factor in your growth and people born on this day tend to continue to study way past traditional schooling.  You are sensual and have a love of life and its pleasures that can either be relished or excessive.  Your personal color helps you focus and ground your visions.  Wearing, meditating or surrounding yourself with the color Apple Butter encourages you to enjoy life's pleasures without going overboard.",APPLE BUTTER
JAN 06,PANTONE 18-1426,864E51,PHILOSOPHER,"YOUR unique way of thinking and your perception of the world and the people in it can lead others to new ways of seeing things.  Education is an important factor in your growth and people born on this day tend to continue to study way past traditional schooling.  You are sensual and have a love of life and its pleasures that can either be relished or excessive.  Your personal color helps you focus and ground your visions.  Wearing, meditating or surrounding yourself with the color Apple Butter encourages you to enjoy life's pleasures without going overboard.",APPLE BUTTER
JAN 05,PANTONE 17-1512,A67A84,POWERFUL,"YOU are creative and talented and have an understanding of life and human nature that contributes to your wisdom.  Intelligent yet emotional, you want a vehicle that helps you express yourself and your ideas.  Your sensitivity needs an outlet to avoid becoming isolated.  The key to your happiness lies in expressing your ideas, thoughts and feelings.  Your personal color helps ease your mental restlessness.  Wearing, meditating or surrounding yourself with Nostalgia Rose connects you to the greater good and helps ease any emotional conflicts.",NOSTALGIA ROSE
JAN 05,PANTONE 17-1512,A67A84,KNOWING,"YOU are creative and talented and have an understanding of life and human nature that contributes to your wisdom.  Intelligent yet emotional, you want a vehicle that helps you express yourself and your ideas.  Your sensitivity needs an outlet to avoid becoming isolated.  The key to your happiness lies in expressing your ideas, thoughts and feelings.  Your personal color helps ease your mental restlessness.  Wearing, meditating or surrounding yourself with Nostalgia Rose connects you to the greater good and helps ease any emotional conflicts.",NOSTALGIA ROSE
JAN 05,PANTONE 17-1512,A67A84,EXPRESSIVE,"YOU are creative and talented and have an understanding of life and human nature that contributes to your wisdom.  Intelligent yet emotional, you want a vehicle that helps you express yourself and your ideas.  Your sensitivity needs an outlet to avoid becoming isolated.  The key to your happiness lies in expressing your ideas, thoughts and feelings.  Your personal color helps ease your mental restlessness.  Wearing, meditating or surrounding yourself with Nostalgia Rose connects you to the greater good and helps ease any emotional conflicts.",NOSTALGIA ROSE
JAN 04,PANTONE 18-1421,886159,TALENTED,"YOUR ability to see things that others often can't is quite extraordinary.  You are a builder and an architect.  Whether you are designing a floor plan or brainstorming conceptual ideas, you are capable of envisioning things before they even exist.  Colorful and unique, you like to do things your way.  There are times, however, that you need to leave room for the opinions of others.  Your personal color encourages you to build your dreams.  Wearing, meditating or surrounding yourself with the color Cognac helps you connect with the seemingly impossible and partake in the creation of beauty.",COGNAC
JAN 04,PANTONE 18-1421,886159,STRUCTURED,"YOUR ability to see things that others often can't is quite extraordinary.  You are a builder and an architect.  Whether you are designing a floor plan or brainstorming conceptual ideas, you are capable of envisioning things before they even exist.  Colorful and unique, you like to do things your way.  There are times, however, that you need to leave room for the opinions of others.  Your personal color encourages you to build your dreams.  Wearing, meditating or surrounding yourself with the color Cognac helps you connect with the seemingly impossible and partake in the creation of beauty.",COGNAC
JAN 04,PANTONE 18-1421,886159,CREATIVE,"YOUR ability to see things that others often can't is quite extraordinary.  You are a builder and an architect.  Whether you are designing a floor plan or brainstorming conceptual ideas, you are capable of envisioning things before they even exist.  Colorful and unique, you like to do things your way.  There are times, however, that you need to leave room for the opinions of others.  Your personal color encourages you to build your dreams.  Wearing, meditating or surrounding yourself with the color Cognac helps you connect with the seemingly impossible and partake in the creation of beauty.",COGNAC
JAN 03,PANTONE 16-1331,CC9976,LOVABLE,"YOU know what you want and you are not afraid to go and get it.  You enjoy committing yourself wholeheartedly and won't settle for anything that isn't completely up to your standards.  It is your ease not your muscle that makes people support your endeavors.  Although you are charismatic and jovial, you are definitely not a pushover.  Your personal color helps you stay on an even keel.  Wearing, meditating or surrounding yourself with the color Toast reminds you to have the basics in place before you go out on a limb.",TOAST
JAN 03,PANTONE 16-1331,CC9976,RELENTLESS,"YOU know what you want and you are not afraid to go and get it.  You enjoy committing yourself wholeheartedly and won't settle for anything that isn't completely up to your standards.  It is your ease not your muscle that makes people support your endeavors.  Although you are charismatic and jovial, you are definitely not a pushover.  Your personal color helps you stay on an even keel.  Wearing, meditating or surrounding yourself with the color Toast reminds you to have the basics in place before you go out on a limb.",TOAST
